p = 4/n ,20,6,4,1.57E-05,6,0.00329,9,0.00323,9.96E-03,2.76E-03,6
p = 5/n ,25,7,5,2.84E-05,8,0.000556,10,0.00311,2.75E-05,1.09E-05,7
p = log(n)/n ,9,3,1.8,7.59E-06,6,0.000281,4,0.00163,9.37E-06,8.46E-06,4
p = 1/√n ,15,4,3,8.73E-06,8,0.000367,9,0.00329,2.54E-05,1.05E-05,6
p = 0.1 ,6,3,1.2,6.19E-06,4,0.000285,3,0.00128,9.28E-06,7.90E-06,3
p = 0.2 ,11,4,2.2,7.91E-06,4,0.000325,4,0.00187,1.26E-05,8.79E-06,4

p = 4/n ,31,6,3.1,2.25E-05,16,0.00088,19,0.027,6.94E-05,2.18E-05,11
p = 5/n ,50,10,5,4.85E-05,16,0.000858,20,0.0055,7.72E-05,4.62E-05,12
p = log(n)/n ,34,7,3.4,2.39E-05,16,0.000619,19,0.00432,1.28E-04,1.39E-04,11
p = 1/√n ,44,9,4.4,3.41E-05,14,0.00106,10,0.00705,0.0001,6.68E-05,10
p = 0.1 ,21,4,2.1,2.22E-05,10,0.000682,8,0.00274,2.29E-05,1.81E-05,8
p = 0.2 ,43,8,4.3,2.74E-05,16,0.000707,19,0.0158,0.000106,2.35E-05,11

p = 4/n ,61,8,4.07,6.06E-05,22,0.000805,27,0.00388,2.47E-04,1.78E-04,16
p = 5/n ,82,9,5.47,1.02E-04,22,0.000763,30,0.0203,0.000359,1.82E-04,19
p = log(n)/n ,63,8,4.2,1.09E-04,18,0.00192,30,0.00476,1.11E-04,5.88E-05,17
p = 1/√n ,79,10,5.27,6.81E-05,22,0.000684,30,0.0155,2.64E-04,1.11E-04,18
p = 0.1 ,37,5,2.47,3.58E-05,20,0.000996,14,0.00195,8.80E-05,3.68E-05,14
p = 0.2 ,95,12,6.33,7.75E-05,22,0.00104,30,0.0275,0.000484,3.34E-04,19

p = 4/n ,68,8,3.4,7.08E-05,26,0.00199,33,0.0123,1.02E-04,7.14E-05,21
p = 5/n ,117,12,5.85,1.06E-04,28,0.000661,40,0.0146,1.73E-04,9.43E-05,24
